Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
116,2016,Kamalei Correa\CorrKa00,DE,21,10,Boise St.,College Stats,6-3,243,4.69,33.0,21,108,,,Baltimore Ravens / 2nd / 42nd pick / 2016
117,2016,Maliek Collins\CollMa00,DT,20,27,Nebraska,College Stats,6-2,311,5.03,29.5,25,109,7.53,4.52,Dallas Cowboys / 3rd / 67th pick / 2016
118,2016,Kenny Clark\ClarKe01,DT,20,30,UCLA,College Stats,6-3,314,5.06,28.5,29,102,,4.62,Green Bay Packers / 1st / 27th pick / 2016
119,2016,Jeremy Cash\CashJe00,SS,23,0,Duke,College Stats,6-0,212,4.56,,,,,,
120,2016,Tevin Carter\CartTe00,SS,23,,Utah,College Stats,6-1,218,4.48,,19,,,,
121,2016,Maurice Canady\CanaMa00,CB,21,3,Virginia,College Stats,6-1,193,4.49,38.0,16,124,7.03,4.09,Baltimore Ravens / 6th / 209th pick / 2016
122,2016,De'Vondre Campbell\CampDe00,OLB,22,28,Minnesota,College Stats,6-4,232,4.58,34.0,16,116,,,Atlanta Falcons / 4th / 115th pick / 2016
123,2016,Taveze Calhoun\CalhTa01,CB,23,0,Mississippi St.,College Stats,6-0,192,4.58,33.5,14,,,,
124,2016,Shilique Calhoun\CalhSh00,DE,23,4,Michigan St.,College Stats,6-4,251,4.82,35.0,23,115,6.97,4.25,Oakland Raiders / 3rd / 75th pick / 2016
125,2016,Vernon Butler\ButlVe00,DT,21,7,Louisiana Tech,College Stats,6-4,323,5.33,29.5,26,104,7.82,4.76,Carolina Panthers / 1st / 30th pick / 2016
126,2016,Deon Bush\BushDe00,FS,22,5,Miami (FL),College Stats,6-0,199,4.64,36.0,17,123,,,Chicago Bears / 4th / 124th pick / 2016
127,2016,Juston Burris\BurrJu00,CB,22,7,North Carolina St.,College Stats,6-0,212,4.53,36.5,19,122,7.10,4.40,New York Jets / 4th / 118th pick / 2016
128,2016,Artie Burns\BurnAr00,CB,20,15,Miami (FL),College Stats,6-0,193,4.46,31.5,,,,,Pittsburgh Steelers / 1st / 25th pick / 2016
129,2016,Jonathan Bullard\BullJo00,DE,22,9,Florida,College Stats,6-3,285,4.93,32.0,23,116,7.31,4.56,Chicago Bears / 3rd / 72nd pick / 2016
130,2016,Deforest Buckner\BuckDe00,DE,21,39,Oregon,College Stats,6-7,291,5.05,32.0,,116,7.51,4.47,San Francisco 49ers / 1st / 7th pick / 2016
131,2016,Lamarcus Brutus\BrutLa00,SS,23,,Florida St.,College Stats,6-0,206,4.76,33.0,14,114,7.08,4.33,
132,2016,Beniquez Brown\BrowBe00,OLB,22,,Mississippi St.,College Stats,6-1,229,4.77,31.0,18,110,7.07,4.28,
133,2016,Anthony Brown\BrowAn02,CB,22,14,Purdue,College Stats,5-11,192,4.33,35.0,19,115,7.03,4.19,Dallas Cowboys / 6th / 189th pick / 2016
134,2016,Kentrell Brothers\BrotKe00,OLB,23,4,Missouri,College Stats,6-0,245,4.89,28.5,19,110,6.99,4.11,Minnesota Vikings / 5th / 160th pick / 2016
135,2016,James Bradberry\BradJa00,CB,22,22,Samford,,6-1,211,4.50,36.0,16,124,6.91,4.21,Carolina Panthers / 2nd / 62nd pick / 2016
136,2016,Joey Bosa\BosaJo00,DE,20,34,Ohio St.,College Stats,6-5,269,4.86,32.0,24,120,6.89,4.21,San Diego Chargers / 1st / 3rd pick / 2016
137,2016,Devante Bond\BondDe00,OLB,22,3,Oklahoma,College Stats,6-1,235,4.70,37.5,21,121,7.07,4.36,Tampa Bay Buccaneers / 6th / 183rd pick / 2016
138,2016,Briean Boddy-Calhoun\BoddBr00,CB,,,Minnesota,College Stats,5-9,193,4.47,35.0,10,123,7.16,4.22,
139,2016,Ronald Blair\BlaiRo00,DE,23,6,Appalachian St.,College Stats,6-2,284,5.15,30.0,32,113,7.95,4.53,San Francisco 49ers / 5th / 142nd pick / 2016
140,2016,Andrew Billings\BillAn00,DT,21,15,Baylor,College Stats,6-1,311,5.05,27.5,31,113,8.05,4.82,Cincinnati Bengals / 4th / 122nd pick / 2016
141,2016,Vonn Bell\BellVo00,FS,21,16,Ohio St.,College Stats,5-11,199,4.52,,16,,,,New Orleans Saints / 2nd / 61st pick / 2016
142,2016,Jimmy Bean\BeanJi01,DE,22,,Oklahoma St.,College Stats,6-5,264,4.87,,20,,,,
143,2016,Eli Apple\ApplEl00,CB,20,17,Ohio St.,College Stats,6-1,199,4.40,,13,,,,New York Giants / 1st / 10th pick / 2016
144,2016,Mackensie Alexander\AlexMa01,CB,22,7,Clemson,College Stats,5-10,190,4.43,,11,,,,Minnesota Vikings / 2nd / 54th pick / 2016
145,2016,Dominique Alexander\AlexDo00,ILB,,,Oklahoma,College Stats,6-0,232,4.64,28.5,17,104,,,
146,2016,Sterling Bailey,DE,,,Georgia,College Stats,6-4,285,5.23,30.0,20,111,7.46,4.73,
147,2016,Mehdi Abdesmad,DE,,,Boston Col.,College Stats,6-6,284,5.10,29.5,25,108,7.55,4.62,
148,2016,Raphael Kirby,ILB,,,Miami (FL),College Stats,6-0,236,4.72,,27,,,,
149,2016,De'Vante Harris,CB,,,Texas A&M,College Stats,5-11,176,4.56,38.5,,124,6.82,4.06,
150,2016,Deiondre Hall,CB,,,Northern Iowa,,6-2,199,4.68,37.0,,127,7.07,4.06,
151,2016,Ufomba Kamalu,DE,,,Miami (FL),College Stats,6-5,295,5.01,25.0,26,106,7.32,4.58,
152,2016,Victor Ochi,DE,,,Stony Brook,,6-1,246,4.86,32.0,,119,7.24,4.40,
153,2016,Jimmy Pruitt,CB,,,San Jose St.,,6-0,198,4.73,32.0,19,117,,,
154,2016,Rashard Robinson,CB,,,Louisiana St,,6-1,171,4.49,35.5,,121,,,
155,2016,James Cowser,DE,,,Southern Utah,,6-3,248,4.82,31.5,21,111,6.80,4.31,
156,2016,Deandre Elliott,CB,,,Colorado St.,College Stats,6-1,188,4.55,41.0,,125,6.93,3.94,
157,2016,Devaunte Sigler,DT,,,Jacksonville St.,,6-3,298,5.15,25.0,23,,7.90,4.97,
158,2016,Cleveland Wallace III,CB,,,San Jose St.,,5-11,188,4.68,35.5,,123,,,
